relative_audio_path,slice_file_name,fsID,fold,classID,class,sample_rate,channels,frames,actual_duration_sec,rms,rms_dbfs,peak_abs,peak_dbfs,clipping_sample_count,clipping_fraction,silent_frame_count,total_frame_count,silent_frame_fraction,quality_read_error
UrbanSound8K/audio/fold4/176003-1-0-0.wav,176003-1-0-0.wav,176003,4,1,car_horn,96000,1,107520,1.12,0.6827995777130127,-3.3141351230548404,1.0,0.0,16440,0.1529017857142857,1,23,0.0434782608695652,
UrbanSound8K/audio/fold3/72537-3-0-8.wav,72537-3-0-8.wav,72537,3,3,dog_bark,11025,2,44100,4.0,0.4006265699863434,-7.94520502417393,1.0,0.0,10337,0.1171995464852607,0,81,0.0,
UrbanSound8K/audio/fold7/159708-6-2-0.wav,159708-6-2-0.wav,159708,7,6,gun_shot,48000,2,13901,0.2896041666666666,0.726466715335846,-2.775685581266081,1.0,0.0,3065,0.1102438673476728,0,6,0.0,
UrbanSound8K/audio/fold7/159708-6-3-0.wav,159708-6-3-0.wav,159708,7,6,gun_shot,48000,2,14369,0.2993541666666666,0.8291521072387695,-1.6273158238601348,1.0,0.0,2958,0.1029299185747094,0,6,0.0,
UrbanSound8K/audio/fold7/159708-6-1-0.wav,159708-6-1-0.wav,159708,7,6,gun_shot,48000,2,13701,0.2854375,0.7508805394172668,-2.4885830228633843,1.0,0.0,2746,0.1002116633822348,0,6,0.0,
UrbanSound8K/audio/fold5/36263-9-0-13.wav,36263-9-0-13.wav,36263,5,9,street_music,44100,2,176400,4.0,0.5311552286148071,-5.495570780669191,1.0,0.0,34148,0.0967913832199546,0,80,0.0,
UrbanSound8K/audio/fold3/72537-3-0-6.wav,72537-3-0-6.wav,72537,3,3,dog_bark,11025,2,44100,4.0,0.3557283580303192,-8.977630245051445,1.0,0.0,7881,0.0893537414965986,0,81,0.0,
UrbanSound8K/audio/fold5/36263-9-0-12.wav,36263-9-0-12.wav,36263,5,9,street_music,44100,2,176400,4.0,0.5055387616157532,-5.924910795111336,1.0,0.0,29745,0.0843112244897959,0,80,0.0,
UrbanSound8K/audio/fold5/36263-9-0-17.wav,36263-9-0-17.wav,36263,5,9,street_music,44100,2,176400,4.0,0.4975472092628479,-6.063314107425263,1.0,0.0,27213,0.0771343537414966,0,80,0.0,
UrbanSound8K/audio/fold3/72537-3-0-2.wav,72537-3-0-2.wav,72537,3,3,dog_bark,11025,2,44100,4.0,0.307962566614151,-10.230041390829642,1.0,0.0,5637,0.0639115646258503,0,81,0.0,
UrbanSound8K/audio/fold3/161195-6-0-0.wav,161195-6-0-0.wav,161195,3,6,gun_shot,44100,1,35277,0.7999319727891157,0.3211726546287536,-9.865228772810845,1.0,0.0,1793,0.0508263174306205,2,16,0.125,
UrbanSound8K/audio/fold7/159708-6-0-0.wav,159708-6-0-0.wav,159708,7,6,gun_shot,48000,2,16307,0.3397291666666667,0.5790506601333618,-4.74566877885678,1.0,0.0,1380,0.0423131170662905,0,7,0.0,
UrbanSound8K/audio/fold6/159702-6-0-0.wav,159702-6-0-0.wav,159702,6,6,gun_shot,48000,2,28695,0.5978125,0.4753260612487793,-6.460167469785404,1.0,0.0,2325,0.0405122843700993,0,12,0.0,
UrbanSound8K/audio/fold7/159708-6-4-0.wav,159708-6-4-0.wav,159708,7,6,gun_shot,48000,2,14400,0.3,0.6363289952278137,-3.926365741450592,1.0,0.0,1135,0.0394097222222222,0,6,0.0,
UrbanSound8K/audio/fold5/43787-3-1-0.wav,43787-3-1-0.wav,43787,5,3,dog_bark,48000,2,52320,1.09,0.5994234681129456,-4.445325158657173,1.0,0.0,3979,0.0380256116207951,0,22,0.0,
UrbanSound8K/audio/fold5/43787-3-0-0.wav,43787-3-0-0.wav,43787,5,3,dog_bark,48000,2,61920,1.29,0.5867412090301514,-4.631068171725759,1.0,0.0,4431,0.0357800387596899,0,26,0.0,
UrbanSound8K/audio/fold7/159708-6-5-0.wav,159708-6-5-0.wav,159708,7,6,gun_shot,48000,2,14704,0.3063333333333333,0.4322847127914428,-7.284602449526424,1.0,0.0,1049,0.0356705658324265,0,7,0.0,
UrbanSound8K/audio/fold6/159702-6-5-0.wav,159702-6-5-0.wav,159702,6,6,gun_shot,48000,2,29702,0.6187916666666666,0.4010583758354187,-7.935848185599401,1.0,0.0,2060,0.0346777994747828,0,13,0.0,
UrbanSound8K/audio/fold10/165166-8-0-6.wav,165166-8-0-6.wav,165166,10,8,siren,44100,2,176400,4.0,0.358349859714508,-8.913855224208447,1.0,0.0,11921,0.0337896825396825,0,80,0.0,
UrbanSound8K/audio/fold6/159702-6-3-0.wav,159702-6-3-0.wav,159702,6,6,gun_shot,48000,2,30541,0.6362708333333333,0.40468430519104,-7.857672769154055,1.0,0.0,2022,0.0331030418126453,0,13,0.0,
UrbanSound8K/audio/fold6/159702-6-4-0.wav,159702-6-4-0.wav,159702,6,6,gun_shot,48000,2,28695,0.5978125,0.3983453810214996,-7.994804285846521,1.0,0.0,1847,0.0321833071963756,0,12,0.0,
UrbanSound8K/audio/fold3/118961-3-0-0.wav,118961-3-0-0.wav,118961,3,3,dog_bark,48000,2,36960,0.77,0.394283264875412,-8.083833118261776,1.0,0.0,2344,0.0317099567099567,0,16,0.0,
UrbanSound8K/audio/fold10/165166-8-0-7.wav,165166-8-0-7.wav,165166,10,8,siren,44100,2,176400,4.0,0.2944191694259643,-10.620678336086936,1.0,0.0,11100,0.0314625850340136,0,80,0.0,
UrbanSound8K/audio/fold9/194310-9-0-35.wav,194310-9-0-35.wav,194310,9,9,street_music,44100,2,176400,4.0,0.4619595110416412,-6.70792174003598,1.0,0.0,11100,0.0314625850340136,0,80,0.0,
UrbanSound8K/audio/fold1/86279-3-0-0.wav,86279-3-0-0.wav,86279,1,3,dog_bark,44100,2,153468,3.48,0.2566940188407898,-11.811685011822629,0.999969482421875,-0.0002650763603796,9351,0.0304656345296739,0,70,0.0,
UrbanSound8K/audio/fold6/159702-6-2-0.wav,159702-6-2-0.wav,159702,6,6,gun_shot,48000,2,28320,0.59,0.3648680746555328,-8.757282700232352,1.0,0.0,1705,0.0301024011299435,0,12,0.0,
UrbanSound8K/audio/fold7/83488-1-1-0.wav,83488-1-1-0.wav,83488,7,1,car_horn,44100,2,12580,0.2852607709750567,0.325801819562912,-9.740929890794172,1.0,0.0,744,0.029570747217806,0,6,0.0,
UrbanSound8K/audio/fold6/39854-5-1-4.wav,39854-5-1-4.wav,39854,6,5,engine_idling,44100,2,176400,4.0,0.4450610876083374,-7.031607502160261,1.0,0.0,10292,0.029172335600907,0,80,0.0,
UrbanSound8K/audio/fold10/39847-5-0-11.wav,39847-5-0-11.wav,39847,10,5,engine_idling,44100,2,176400,4.0,0.4535261988639831,-6.867952399490447,1.0,0.0,10276,0.0291269841269841,0,80,0.0,
UrbanSound8K/audio/fold7/83488-1-0-0.wav,83488-1-0-0.wav,83488,7,1,car_horn,44100,2,25578,0.58,0.3347346484661102,-9.5059866277283,1.0,0.0,1486,0.0290484009695832,0,12,0.0,
UrbanSound8K/audio/fold10/39847-5-0-2.wav,39847-5-0-2.wav,39847,10,5,engine_idling,44100,2,176400,4.0,0.4484085738658905,-6.9665218400495,1.0,0.0,10190,0.0288832199546485,0,80,0.0,
UrbanSound8K/audio/fold10/39847-5-0-7.wav,39847-5-0-7.wav,39847,10,5,engine_idling,44100,2,176400,4.0,0.4503483176231384,-6.929029106427224,1.0,0.0,10184,0.0288662131519274,0,80,0.0,
UrbanSound8K/audio/fold6/39854-5-1-3.wav,39854-5-1-3.wav,39854,6,5,engine_idling,44100,2,176400,4.0,0.4403428435325622,-7.124181148653236,1.0,0.0,10138,0.028735827664399,0,80,0.0,
UrbanSound8K/audio/fold10/39847-5-0-3.wav,39847-5-0-3.wav,39847,10,5,engine_idling,44100,2,176400,4.0,0.4529773592948913,-6.878470086852445,1.0,0.0,10104,0.0286394557823129,0,80,0.0,
UrbanSound8K/audio/fold3/162431-6-2-0.wav,162431-6-2-0.wav,162431,3,6,gun_shot,96000,2,61019,0.6356145833333333,0.2499947696924209,-12.04138154795779,1.0,0.0,3455,0.0283108539962962,2,13,0.1538461538461538,
UrbanSound8K/audio/fold6/159702-6-1-0.wav,159702-6-1-0.wav,159702,6,6,gun_shot,48000,2,27689,0.5768541666666667,0.4939457476139068,-6.126414981276003,1.0,0.0,1566,0.0282783776951135,0,12,0.0,
UrbanSound8K/audio/fold10/39847-5-0-4.wav,39847-5-0-4.wav,39847,10,5,engine_idling,44100,2,176400,4.0,0.4498613476753235,-6.938426400856309,1.0,0.0,9910,0.0280895691609977,0,80,0.0,
UrbanSound8K/audio/fold7/159705-6-0-0.wav,159705-6-0-0.wav,159705,7,6,gun_shot,48000,2,63201,1.3166875,0.3732254803180694,-8.560574287589729,1.0,0.0,3539,0.0279979747155899,0,27,0.0,
UrbanSound8K/audio/fold10/39847-5-0-8.wav,39847-5-0-8.wav,39847,10,5,engine_idling,44100,2,176400,4.0,0.4414247572422027,-7.1028662629906805,1.0,0.0,9810,0.0278061224489795,0,80,0.0,
UrbanSound8K/audio/fold7/159708-6-6-0.wav,159708-6-6-0.wav,159708,7,6,gun_shot,48000,2,30115,0.6273958333333334,0.3725714683532715,-8.575808131639345,1.0,0.0,1658,0.0275278100614311,0,13,0.0,
UrbanSound8K/audio/fold10/39847-5-0-1.wav,39847-5-0-1.wav,39847,10,5,engine_idling,44100,2,176400,4.0,0.4395893216133117,-7.139057317725314,1.0,0.0,9500,0.0269274376417233,0,80,0.0,
UrbanSound8K/audio/fold10/39847-5-0-10.wav,39847-5-0-10.wav,39847,10,5,engine_idling,44100,2,176400,4.0,0.4360711276531219,-7.208853341790706,1.0,0.0,9474,0.0268537414965986,0,80,0.0,
UrbanSound8K/audio/fold6/39854-5-1-2.wav,39854-5-1-2.wav,39854,6,5,engine_idling,44100,2,176400,4.0,0.4306711256504059,-7.3170848907781405,1.0,0.0,9472,0.0268480725623582,0,80,0.0,
UrbanSound8K/audio/fold10/39847-5-0-5.wav,39847-5-0-5.wav,39847,10,5,engine_idling,44100,2,176400,4.0,0.4383862912654876,-7.162860701825902,1.0,0.0,9304,0.0263718820861678,0,80,0.0,
UrbanSound8K/audio/fold6/39854-5-0-0.wav,39854-5-0-0.wav,39854,6,5,engine_idling,44100,2,176400,4.0,0.4405721426010132,-7.119659335586123,1.0,0.0,9242,0.0261961451247165,0,80,0.0,
