slice_file_name,fsID,start,end,salience,fold,classID,class,duration_sec,relative_audio_path,audio_exists
100648-1-0-0.wav,100648,4.823402,5.471927,2,10,1,car_horn,0.6485250000000002,UrbanSound8K/audio/fold10/100648-1-0-0.wav,True
100648-1-1-0.wav,100648,8.998279,10.052132,2,10,1,car_horn,1.0538530000000002,UrbanSound8K/audio/fold10/100648-1-1-0.wav,True
100648-1-2-0.wav,100648,16.699509,17.104837,2,10,1,car_horn,0.4053280000000008,UrbanSound8K/audio/fold10/100648-1-2-0.wav,True
100648-1-3-0.wav,100648,17.631764,19.253075,2,10,1,car_horn,1.6213109999999986,UrbanSound8K/audio/fold10/100648-1-3-0.wav,True
100648-1-4-0.wav,100648,25.332994,27.197502,2,10,1,car_horn,1.8645080000000007,UrbanSound8K/audio/fold10/100648-1-4-0.wav,True
101281-3-0-0.wav,101281,0.341333,4.341333,2,6,3,dog_bark,3.9999999999999996,UrbanSound8K/audio/fold6/101281-3-0-0.wav,True
101281-3-0-14.wav,101281,7.341333,11.341333,2,6,3,dog_bark,4.000000000000001,UrbanSound8K/audio/fold6/101281-3-0-14.wav,True
101281-3-0-5.wav,101281,2.841333,6.8413330000000006,2,6,3,dog_bark,4.0,UrbanSound8K/audio/fold6/101281-3-0-5.wav,True
101729-0-0-1.wav,101729,0.5,4.5,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-1.wav,True
101729-0-0-11.wav,101729,5.5,9.5,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-11.wav,True
101729-0-0-12.wav,101729,6.0,10.0,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-12.wav,True
101729-0-0-13.wav,101729,6.5,10.5,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-13.wav,True
101729-0-0-14.wav,101729,7.0,11.0,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-14.wav,True
101729-0-0-16.wav,101729,8.0,12.0,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-16.wav,True
101729-0-0-17.wav,101729,8.5,12.5,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-17.wav,True
101729-0-0-18.wav,101729,9.0,13.0,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-18.wav,True
101729-0-0-19.wav,101729,9.5,13.5,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-19.wav,True
101729-0-0-21.wav,101729,10.5,14.5,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-21.wav,True
101729-0-0-22.wav,101729,11.0,15.0,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-22.wav,True
101729-0-0-23.wav,101729,11.5,15.5,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-23.wav,True
101729-0-0-24.wav,101729,12.0,16.0,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-24.wav,True
101729-0-0-26.wav,101729,13.0,17.0,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-26.wav,True
101729-0-0-28.wav,101729,14.0,18.0,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-28.wav,True
101729-0-0-29.wav,101729,14.5,18.5,2,9,0,air_conditioner,4.0,UrbanSound8K/audio/fold9/101729-0-0-29.wav,True
