slice_file_name,fsID,start,end,salience,fold,classID,class,metadata_duration_sec,relative_audio_path,exists,sample_rate,channels,frames,actual_duration_sec,format,subtype,read_error,duration_diff_sec
100032-3-0-0.wav,100032,0.0,0.317551,1,5,3,dog_bark,0.317551,UrbanSound8K/audio/fold5/100032-3-0-0.wav,True,44100,2,14004,0.31755102040816324,WAV,PCM_16,,2.0408163214913344e-08
100263-2-0-117.wav,100263,58.5,62.5,1,5,2,children_playing,4.0,UrbanSound8K/audio/fold5/100263-2-0-117.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100263-2-0-121.wav,100263,60.5,64.5,1,5,2,children_playing,4.0,UrbanSound8K/audio/fold5/100263-2-0-121.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100263-2-0-126.wav,100263,63.0,67.0,1,5,2,children_playing,4.0,UrbanSound8K/audio/fold5/100263-2-0-126.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100263-2-0-137.wav,100263,68.5,72.5,1,5,2,children_playing,4.0,UrbanSound8K/audio/fold5/100263-2-0-137.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100263-2-0-143.wav,100263,71.5,75.5,1,5,2,children_playing,4.0,UrbanSound8K/audio/fold5/100263-2-0-143.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100263-2-0-161.wav,100263,80.5,84.5,1,5,2,children_playing,4.0,UrbanSound8K/audio/fold5/100263-2-0-161.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100263-2-0-3.wav,100263,1.5,5.5,1,5,2,children_playing,4.0,UrbanSound8K/audio/fold5/100263-2-0-3.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100263-2-0-36.wav,100263,18.0,22.0,1,5,2,children_playing,4.0,UrbanSound8K/audio/fold5/100263-2-0-36.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100648-1-0-0.wav,100648,4.823402,5.471927,2,10,1,car_horn,0.6485250000000002,UrbanSound8K/audio/fold10/100648-1-0-0.wav,True,44100,2,28600,0.6485260770975056,WAV,PCM_16,,1.0770975054086307e-06
100648-1-1-0.wav,100648,8.998279,10.052132,2,10,1,car_horn,1.0538530000000002,UrbanSound8K/audio/fold10/100648-1-1-0.wav,True,44100,2,46305,1.05,WAV,PCM_16,,-0.0038530000000001063
100648-1-2-0.wav,100648,16.699509,17.104837,2,10,1,car_horn,0.4053280000000008,UrbanSound8K/audio/fold10/100648-1-2-0.wav,True,44100,2,17875,0.40532879818594103,WAV,PCM_16,,7.981859402317326e-07
100648-1-3-0.wav,100648,17.631764,19.253075,2,10,1,car_horn,1.6213109999999986,UrbanSound8K/audio/fold10/100648-1-3-0.wav,True,44100,2,71442,1.62,WAV,PCM_16,,-0.0013109999999985078
100648-1-4-0.wav,100648,25.332994,27.197502,2,10,1,car_horn,1.8645080000000007,UrbanSound8K/audio/fold10/100648-1-4-0.wav,True,44100,2,82026,1.86,WAV,PCM_16,,-0.004508000000000623
100652-3-0-0.wav,100652,0.0,4.0,1,2,3,dog_bark,4.0,UrbanSound8K/audio/fold2/100652-3-0-0.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100652-3-0-1.wav,100652,0.5,4.5,1,2,3,dog_bark,4.0,UrbanSound8K/audio/fold2/100652-3-0-1.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100652-3-0-2.wav,100652,1.0,5.0,1,2,3,dog_bark,4.0,UrbanSound8K/audio/fold2/100652-3-0-2.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100652-3-0-3.wav,100652,1.5,5.5,1,2,3,dog_bark,4.0,UrbanSound8K/audio/fold2/100652-3-0-3.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100795-3-0-0.wav,100795,0.19179,4.19179,1,10,3,dog_bark,4.0,UrbanSound8K/audio/fold10/100795-3-0-0.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100795-3-1-0.wav,100795,13.059155,17.059155,1,10,3,dog_bark,4.0,UrbanSound8K/audio/fold10/100795-3-1-0.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100795-3-1-1.wav,100795,13.559155,17.559155,1,10,3,dog_bark,4.0,UrbanSound8K/audio/fold10/100795-3-1-1.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100795-3-1-2.wav,100795,14.059155,18.059155,1,10,3,dog_bark,4.0,UrbanSound8K/audio/fold10/100795-3-1-2.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100852-0-0-0.wav,100852,0.0,4.0,1,5,0,air_conditioner,4.0,UrbanSound8K/audio/fold5/100852-0-0-0.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100852-0-0-1.wav,100852,0.5,4.5,1,5,0,air_conditioner,4.0,UrbanSound8K/audio/fold5/100852-0-0-1.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100852-0-0-10.wav,100852,5.0,9.0,1,5,0,air_conditioner,4.0,UrbanSound8K/audio/fold5/100852-0-0-10.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100852-0-0-11.wav,100852,5.5,9.5,1,5,0,air_conditioner,4.0,UrbanSound8K/audio/fold5/100852-0-0-11.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100852-0-0-12.wav,100852,6.0,10.0,1,5,0,air_conditioner,4.0,UrbanSound8K/audio/fold5/100852-0-0-12.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100852-0-0-13.wav,100852,6.5,10.5,1,5,0,air_conditioner,4.0,UrbanSound8K/audio/fold5/100852-0-0-13.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
100852-0-0-14.wav,100852,7.0,11.0,1,5,0,air_conditioner,4.0,UrbanSound8K/audio/fold5/100852-0-0-14.wav,True,44100,2,176400,4.0,WAV,PCM_16,,0.0
